City,Population (2011),Population (2001),State or union territory,Ref
Mumbai,12442373,11978450,Maharashtra,
Delhi,11034555,9879172,Delhi,
Bengaluru,8443675,5682293,Karnataka,
Hyderabad,6993262,5496960,Telangana,
Ahmedabad,5577940,4470006,Gujarat,
Chennai,4646732,4343645,Tamil Nadu,
Kolkata,4496694,4580546,West Bengal,
Surat,4467797,2788126,Gujarat,
Pune,3124458,2538473,Maharashtra,
Jaipur,3046163,2322575,Rajasthan,
Lucknow,2817105,2185927,Uttar Pradesh,
Kanpur,2765348,2551337,Uttar Pradesh,
Nagpur,2405665,2052066,Maharashtra,
Indore,1964086,1503237,Madhya Pradesh,
Thane,1841488,1262551,Maharashtra,
Bhopal,1798218,1458416,Madhya Pradesh,
Visakhapatnam,1728128,1345938,Andhra Pradesh,
Pimpri-Chinchwad,1727692,1020448,Maharashtra,
Patna,1684222,1431477,Bihar,
Vadodara,1670806,1338244,Gujarat,
Ghaziabad,1648643,968256,Uttar Pradesh,
Ludhiana,1618879,1398467,Punjab,
Agra,1585704,1275134,Uttar Pradesh,
Nashik,1486053,1077236,Maharashtra,
Faridabad,1414050,1055938,Haryana,
Meerut,1305429,1068772,Uttar Pradesh,
Rajkot,1286678,967476,Gujarat,
Kalyan-Dombivli,1247327,1193512,Maharashtra,
Vasai-Virar,1222390,518601,Maharashtra,
Varanasi,1198491,1103952,Uttar Pradesh,
Srinagar,1180570,935764,Jammu and Kashmir,
Aurangabad,1175116,873311,Maharashtra,
Dhanbad,1162472,1031523,Jharkhand,
Amritsar,1132383,979801,Punjab,
Navi Mumbai,1120547,704002,Maharashtra,
Prayagraj,1112544,975393,Uttar Pradesh,
Howrah,1077075,1007532,West Bengal,
Ranchi,1073427,847093,Jharkhand,
Jabalpur,1055525,951472,Madhya Pradesh,
Gwalior,1054420,827026,Madhya Pradesh,
Coimbatore,1050721,930882,Tamil Nadu,
Vijayawada,1034358,941760,Andhra Pradesh,
Jodhpur,1033756,856525,Rajasthan,
Madurai,1017865,928869,Tamil Nadu,
Raipur,1010433,707469,Chhattisgarh,
Kota,1001694,703150,Rajasthan,
Guwahati,963429,809895,Assam,
Chandigarh,960787,808515,Chandigarh,
Solapur,951118,872478,Maharashtra,
Hubliâ€“Dharwad,943857,786195,Karnataka,
Tiruchirappalli,916674,752066,Tamil Nadu,
Tiruppur,898167,718395,Tamil Nadu,
Moradabad,889810,641583,Uttar Pradesh,
Mysore,887446,755379,Karnataka,
Bareilly,877778,344543,Uttar Pradesh,
Gurgaon,876824,173542,Haryana,
Aligarh,872575,669087,Uttar Pradesh,
Jalandhar,862196,706043,Punjab,
Bhubaneswar,837737,648032,Odisha,
Salem,831038,696760,Tamil Nadu,
Mira-Bhayandar,814655,520388,Maharashtra,
Warangal,811844,530636,Telangana,
Thiruvananthapuram,752490,744983,Kerala,
Guntur,743354,514461,Andhra Pradesh,
Bhiwandi,711329,598741,Maharashtra,
Saharanpur,703345,455754,Uttar Pradesh,
Gorakhpur,671048,622701,Uttar Pradesh,
Bikaner,647804,529690,Rajasthan,
Amravati,646801,549510,Maharashtra,
Noida,642381,305058,Uttar Pradesh,
Jamshedpur,631364,573096,Jharkhand,
Bhilai,625697,556366,Chhattisgarh,
Cuttack,606007,534654,Odisha,
Firozabad,603797,279102,Uttar Pradesh,
Kochi,601574,596473,Kerala,
Nellore,600869,378428,Andhra Pradesh,
Bhavnagar,593768,511085,Gujarat,
Dehradun,578420,426674,Uttarakhand,
Durgapur,566937,493405,West Bengal,
Asansol,564491,475439,West Bengal,
Nanded,550564,430733,Maharashtra,
Kolhapur,549283,493167,Maharashtra,
Ajmer,542580,485575,Rajasthan,
Gulbarga,532031,422569,Karnataka,
Jamnagar,529308,443518,Gujarat,
Ujjain,515215,430427,Madhya Pradesh,
Loni,512296,120945,Uttar Pradesh,
Siliguri,509709,472374,West Bengal,
Jhansi,507293,383644,Uttar Pradesh,
Ulhasnagar,506937,473731,Maharashtra,
Jammu,503690,369959,Jammu and Kashmir,
Sangli-Miraj & Kupwad,502697,436781,Maharashtra,
Mangalore,499486,399565,Karnataka,
Erode,498129,173600,Tamil Nadu,
Belgaum,488292,399653,Karnataka,
Ambattur,478134,310967,Tamil Nadu,
Tirunelveli,473637,411831,Tamil Nadu,
Malegaon,471006,409403,Maharashtra,
Gaya,463454,385432,Bihar,
Jalgaon,460468,368618,Maharashtra,
Udaipur,451735,389438,Rajasthan,
Maheshtala,449423,385266,West Bengal,
Davanagere,435128,364523,Karnataka,
Kozhikode,432097,436556,Kerala,
Kurnool,430214,269122,Andhra Pradesh,
Akola,425817,400520,Maharashtra,
Rajpur Sonarpur,423806,336707,West Bengal,
Rajahmundry,419818,315251,Andhra Pradesh,
Bokaro,413934,393805,Jharkhand,
South Dumdum,410524,392444,West Bengal,
Bellary,409644,316766,Karnataka,
Patiala,405164,303151,Punjab,
Gopalpur,404991,271811,West Bengal,
Agartala,399688,271811,Tripura,
Bhagalpur,398138,340767,Bihar,
Muzaffarnagar,392451,316729,Uttar Pradesh,
Bhatpara,390467,442385,West Bengal,
Panihati,383522,348438,West Bengal,
Latur,382754,299985,Maharashtra,
Dhule,376093,341755,Maharashtra,
Tirupati,374260,228202,Andhra Pradesh,
Rohtak,373133,286807,Haryana,
Korba,363210,315690,Chhattisgarh,
Bhilwara,360009,280128,Rajasthan,
Berhampur,355823,307792,Odisha,
Muzaffarpur,351838,305525,Bihar,
Ahmednagar,350905,307615,Maharashtra,
Mathura,349336,302770,Uttar Pradesh,
Kollam,349033,361560,Kerala,
Avadi,344701,229403,Tamil Nadu,
Kadapa,343054,125725,Andhra Pradesh,
Kamarhati,336579,314507,West Bengal,
Bilaspur,330106,274917,Chhattisgarh,
Shahjahanpur,327975,296662,Uttar Pradesh,
Bijapur,326360,228175,Karnataka,
Rampur,325248,281494,Uttar Pradesh,
Shivamogga,322428,274352,Karnataka,
Chandrapur,321036,289450,Maharashtra,
Junagadh,320250,168686,Gujarat,
Thrissur,315596,317526,Kerala,
Alwar,315310,260593,Rajasthan,
Bardhaman,314638,285602,West Bengal,
Kulti,313977,289903,West Bengal,
Kakinada,325985,296329,Andhra Pradesh,
Nizamabad,310467,288722,Telangana,
Parbhani,307191,259329,Maharashtra,
Tumkur,305821,248929,Karnataka,
Khammam,305000,218689,Telangana,
Ozhukarai,300028,217707,Puducherry,
Bihar Sharif,296889,232071,Bihar,
Panipat,294150,261740,Haryana,
Darbhanga,294116,267348,Bihar,
Bally,291972,260906,West Bengal,
Aizawl,291822,228280,Mizoram,
Dewas,289438,231672,Madhya Pradesh,
Ichalkaranji,287570,257610,Maharashtra,
Karnal,286974,210476,Haryana,
Bathinda,285813,217256,Punjab,
Jalna,285349,235795,Maharashtra,
Eluru,283648,190347,Andhra Pradesh,
Kirari Suleman Nagar,282598,153874,Delhi,
Barasat,283443,231515,West Bengal,
Purnia,280547,171687,Bihar,
Satna,280248,225464,Madhya Pradesh,
Mau,279060,212657,Uttar Pradesh,
Sonipat,277053,214974,Haryana,
Farrukhabad,275750,228333,Uttar Pradesh,
Sagar,273357,232133,Madhya Pradesh,
Rourkela,273217,224601,Odisha,
Durg,268679,232517,Chhattisgarh,
Imphal,264986,221492,Manipur,
Ratlam,264810,222202,Madhya Pradesh,
Hapur,262801,211983,Uttar Pradesh,
Arrah,261099,203380,Bihar,
Karimnagar,260899,205653,Telangana,
Anantapur,261004,218808,Andhra Pradesh,
Etawah,256838,210453,Uttar Pradesh,
Ambarnath,254003,203795,Maharashtra,
North Dumdum,253625,220042,West Bengal,
Bharatpur,252109,204587,Rajasthan,
Begusarai,251136,93378,Bihar,
New Delhi,249998,302147,Delhi,
Gandhidham,248705,166388,Gujarat,
Baranagar,248466,250768,West Bengal,
Tiruvottiyur,248059,212281,Tamil Nadu,
Puducherry,241773,220749,Puducherry,
Sikar,237579,184904,Rajasthan,
Thoothukudi,237374,216058,Tamil Nadu,
Rewa,235422,183274,Madhya Pradesh,
Mirzapur,233691,205053,Uttar Pradesh,
Raichur,232456,207421,Karnataka,
Pali,229956,187641,Rajasthan,
Ramagundam,229644,236600,Telangana,
Haridwar,228832,175010,Uttarakhand,
Vijayanagaram,228025,174324,Andhra Pradesh,
Katihar,225982,175169,Bihar,
Nagarcoil,224849,208179,Tamil Nadu,
Sri Ganganagar,224773,210713,Rajasthan,
Karawal Nagar,224666,148549,Delhi,
Mango,223805,166125,Jharkhand,
Thanjavur,222943,215314,Tamil Nadu,
Bulandshahr,222519,176425,Uttar Pradesh,
Uluberia,222240,202135,West Bengal,
Murwara,221883,187029,Uttar Pradesh,
Sambhal,220813,182478,Uttar Pradesh,
Singrauli,220257,185190,Madhya Pradesh,
Nadiad,218095,192913,Gujarat,
Secunderabad,217910,206102,Telangana,
Naihati,217900,215303,West Bengal,
Yamunanagar,216677,189696,Haryana,
Bidhan Nagar,215514,164221,West Bengal,
Pallavaram,215417,144623,Tamil Nadu,
Bidar,214373,172877,Karnataka,
Munger,213303,188050,Bihar,
Panchkula,211355,140925,Haryana,
Burhanpur,210886,193725,Madhya Pradesh,
Raurkela Industrial Township,210317,206693,Odisha,
Kharagpur,207604,188761,West Bengal,
Dindigul,207327,196955,Tamil Nadu,
Gandhinagar,206167,195985,Gujarat,
Hospet,206167,164240,Karnataka,
Nangloi Jat,205596,150948,Delhi,
Malda,205521,161456,West Bengal,
Ongole,204746,150471,Andhra Pradesh,
Deoghar,203123,112525,Jharkhand,
Chapra,202352,79190,Bihar,
Haldia,200827,170673,West Bengal,
Khandwa,200738,172242,Madhya Pradesh,
Nandyal,200516,152676,Andhra Pradesh,
Chittoor,189332,152654,Andhra Pradesh,
Morena,200482,150959,Madhya Pradesh,
Amroha,198471,165129,Uttar Pradesh,
Anand,198282,130685,Gujarat,
Bhind,197585,153752,Madhya Pradesh,
Bhalswa Jahangir Pur,197148,152339,Delhi,
Madhyamgram,196127,155451,West Bengal,
Bhiwani,196057,169531,Haryana,
Baharampur,195223,160143,West Bengal,
Ambala,195153,139279,Haryana,
Morvi,194947,145719,Gujarat,
Fatehpur,193193,151757,Uttar Pradesh,
Rae Bareli,191316,169333,Uttar Pradesh,
Khora,190005,,Uttar Pradesh,
Bhusawal,187421,172372,Maharashtra,
Orai,187137,139318,Uttar Pradesh,
Bahraich,186223,168323,Uttar Pradesh,
Vellore,185803,177230,Tamil Nadu,
Mahesana,184991,141453,Gujarat,
Sambalpur,184000,153643,Odisha,
Raiganj,183612,165212,West Bengal,
Sirsa,182534,160735,Haryana,
Danapur,182429,131176,Bihar,
Serampore,181842,197857,West Bengal,
Sultan Pur Majra,181554,164426,Delhi,
Guna,180935,137175,Madhya Pradesh,
Jaunpur,180362,160055,Uttar Pradesh,
Panvel,180020,104058,Maharashtra,
Shivpuri,179977,146892,Madhya Pradesh,
Surendranagar Dudhrej,177851,156161,Gujarat,
Unnao,177658,144662,Uttar Pradesh,
Hugli-Chuchura,177259,170201,West Bengal,
Badlapur,174226,97948,Maharashtra,
Alappuzha,174164,177029,Kerala,
Kottayam,172878,129894,Kerala,
Gadag-Betageri,172000,,Karnataka,
Machilipatnam,169892,179353,Andhra Pradesh,
Shimla,169578,142555,Himachal Pradesh,
Adoni,166537,,Andhra Pradesh,
Tenali,164937,,Andhra Pradesh,
Proddatur,162717,,Andhra Pradesh,
Saharsa,155175,125167,Bihar,
Hindupur,151835,,Andhra Pradesh,
Sasaram,147396,131172,Bihar,
Hajipur,147126,119412,Bihar,
Beed,146709,138196,Maharashtra,
Bhimavaram,142280,,Andhra Pradesh,
Dehri,137068,119057,Bihar,
Madanapalle,135669,,Andhra Pradesh,
Siwan,134458,109919,Bihar,
Bettiah,132896,116670,Bihar,
Gondia,132813,120902,Maharashtra,
Guntakal,126270,,Andhra Pradesh,
Srikakulam,125939,,Andhra Pradesh,
Motihari,125183,100683,Bihar,
Dharmavaram,121874,,Andhra Pradesh,
Satara,120195,108048,Maharashtra,
Barshi,118722,104785,Maharashtra,
Gudivada,118167,,Andhra Pradesh,
Yavatmal,116551,120676,Maharashtra,
Narasaraopet,116250,,Andhra Pradesh,
Bagaha,113012,91467,Bihar,
Achalpur,112311,107316,Maharashtra,
Osmanabad,111825,80625,Maharashtra,
Nandurbar,111037,94368,Maharashtra,
Miryalaguda,109891,91395,Telangana,
Tadipatri,108171,,Andhra Pradesh,
Kishanganj,107076,85590,Bihar,
Wardha,106444,111118,Maharashtra,
Karaikudi,106714,86596,Tamil Nadu,
Suryapet,105250,94585,Telangana,
Jamalpur,105221,96983,Bihar,
Kavali,104000,,Andhra Pradesh,
Tadepalligudem,103906,,Andhra Pradesh,
Udgir,103550,91933,Maharashtra,
Amaravati,103000,,Andhra Pradesh,
Buxar,102591,83168,Bihar,
Jehanabad,102456,81503,Bihar,
Hinganghat,101805,92342,Maharashtra,
Aurangabad,101520,79393,Bihar,
